"City","Min_1","Max_1","Min_2","Max_2","Min_3","Max_3","Min_4","Max_4","Min_5","Max_5","Min_avg","Max_max"
"Anchorage, Alaska",9.54,20.11,10.44,20.32,11.46,19.92,11.57,19.99,12.42,16.65,11.09,19.4
"Buenos Aires",14.14,19.48,15.7,24.25,12.33,21.41,8.7,15.88,8.3,15.38,11.83,19.28
"Sao Jose dos Campos, Brazil",11.34,27.06,12.88,25.95,10.26,27.84,10.77,29.22,11.52,30.97,11.35,28.21
"San Jose, Costa Rica",20.58,27.3,20.72,26.81,20.06,25.74,19.79,26.33,19.87,27.47,20.2,26.73
"Nanaimo, Canada",15.53,25.89,16.58,25.68,15.89,25.07,15.82,24.25,15.55,24.61,15.87,25.1
"Ningbo, China",25.75,34.02,23.24,25.75,22.3,25.89,22.01,27.25,22.42,25.99,23.14,27.78
"Giza, Egypt",22.6,38.55,22.23,37.85,22.49,37.93,22.35,36.86,21.3,36.51,22.19,37.54
"Mannheim, Germany",18.76,32.16,19.73,33.43,19.45,27.45,16.39,27.87,15.97,30.28,18.06,30.24
"Hyderabad, India",22.09,31.94,22.94,31.98,22.28,30.24,21.83,25.55,22.21,26.17,22.27,29.18
"Tehran, Iran",23.74,34.96,24.9,35.76,23.36,34.36,22.63,34.18,23.88,35.5,23.7,34.95
"Bishkek, Kyrgyzstan",17.83,34.06,18.92,33.78,17.12,29.04,13.69,29.24,14.36,25.95,16.38,30.41
"Riga, Latvia",14.92,25.95,14.63,26.96,17.08,26.5,17.82,25.83,16.14,23.9,16.12,25.83
"Quetta, Pakistan",17.28,34.18,17.98,33.66,18.43,34.74,19.01,35.17,18.94,34.47,18.33,34.44
"Warsaw, Poland",19.03,31.48,19.8,31.61,20.43,31.47,18.88,27.87,15.31,26.42,18.69,29.77
"Dhahran, Saudia Arabia",29.11,42.21,28.18,41.61,29.32,42.22,28.8,42.0,28.27,42.59,28.74,42.13
"Madrid, Spain",15.95,26.42,16.45,31.07,17.73,32.92,19.46,33.51,19.31,33.21,17.78,31.43
"Oldham, United Kingdom",15.26,24.59,12.98,21.18,11.33,18.72,13.89,19.51,12.65,17.96,13.22,20.39
